0;Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
200;198;18/12/1999;40;23;01;18;35;08;000;0;;;000;125;8.88102;7134;15502;SIM;3.760.27808;000;000
201;199;24/12/1999;52;37;57;16;10;50;000;1;;SP;4.915.59320;34;28.31655;3143;30516;NÃO;000;000;000
202;200;31/12/1999;12;15;44;34;51;19;000;2;;;8.829.38920;186;11.00848;13027;15659;NÃO;000;000;000
203;201;08/01/2000;55;22;05;30;35;20;000;1;;RN;1.038.37394;77;11.23781;4502;19148;NÃO;000;000;000
204;202;15/01/2000;49;53;44;12;24;45;000;0;;;000;65;12.41265;4279;18785;SIM;968.18682;000;000
205;203;22/01/2000;11;55;44;19;29;47;000;0;;;000;63;14.09933;5417;16336;SIM;2.034.09614;000;000
206;204;29/01/2000;31;41;51;39;58;29;000;0;;;000;32;30.22185;2400;40143;SIM;3.194.61519;000;000
207;205;05/02/2000;26;32;54;43;46;40;000;1;;RJ;4.490.33949;71;15.20803;6014;17886;NÃO;000;000;000
208;206;12/02/2000;20;26;56;18;34;51;000;0;;;000;43;17.76934;3478;21886;SIM;916.89774;000;000
209;207;19/02/2000;19;07;03;55;24;53;000;0;;;000;90;9.66376;6510;13310;SIM;1.960.58304;000;000
210;208;26/02/2000;23;15;57;24;47;25;000;0;;;000;72;12.67918;5232;17383;SIM;3.056.06434;000;000
211;209;04/03/2000;13;52;32;41;21;26;000;0;;;000;81;12.34982;5496;18132;SIM;4.256.46694;000;000
212;210;11/03/2000;37;58;20;38;48;32;000;0;;;000;29;46.72117;3921;34424;SIM;14.043.87883;000;000
213;211;18/03/2000;10;20;40;45;50;33;000;0;;;000;164;10.88027;16680;10658;SIM;16.185.11503;000;000
214;212;25/03/2000;29;57;15;45;59;06;000;0;;;000;147;13.31879;9880;19742;SIM;18.534.54853;000;000
215;213;01/04/2000;03;30;09;35;23;32;000;3;;PR;7.089.19454;312;7.29977;18348;12366;NÃO;000;000;000
216;;RS;;;;;;;;;;;;;;;;;;;
217;;SC;;;;;;;;;;;;;;;;;;;
218;214;08/04/2000;30;12;06;50;35;31;000;0;;;000;54;15.57804;3769;22235;SIM;1.009.45663;000;000
219;215;15/04/2000;07;58;28;53;37;46;000;0;;;000;78;12.07840;4942;18992;SIM;2.139.99441;000;000
